location,size,bhk,total_sqft,tot_sqft,bath,price,house_price,del_by_bath,bhk_blank,bath_blank,price_blank,del_by_sqft
Bisuvanahalli,3 BHK,3,1075 ,1075,2,35,3500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1760 ,1760,2,123,12300000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,3 BHK,3,1693 ,1693,3,57.39,5739000,save,FALSE,FALSE,FALSE,save
Kasturi Nagar,3 BHK,3,1925 ,1925,3,125,12500000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,700 ,700,2,36,3600000,save,FALSE,FALSE,FALSE,save
Electronics City Phase 1,2 BHK,2,1070 ,1070,2,45.5,4550000,save,FALSE,FALSE,FALSE,save
Kundalahalli,3 BHK,3,1724 ,1724,3,125,12500000,save,FALSE,FALSE,FALSE,save
Chikkalasandra,3 BHK,3,1290 ,1290,2,56.12,5612000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1143 ,1143,2,45,4500000,save,FALSE,FALSE,FALSE,save
Murugeshpalya,2 BHK,2,1296 ,1296,2,81,8100000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 BHK,3,1254 ,1254,3,38,3800000,save,FALSE,FALSE,FALSE,save
Ganga Nagar,1 BHK,1,600 ,600,1,38,3800000,save,FALSE,FALSE,FALSE,save
Yelahanka,1 Bedroom,1,660 ,660,1,48,4800000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1331 ,1330,2,91.79,9179000,save,FALSE,FALSE,FALSE,save
Doddathoguru,2 BHK,2,970 ,970,2,33,3300000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1459 ,1459,2,94.82,9482000,save,FALSE,FALSE,FALSE,save
KR Puram,2 Bedroom,2,800 ,800,1,130,13000000,save,FALSE,FALSE,FALSE,save
Himagiri Meadows,2 BHK,2,869 ,869,2,36,3600000,save,FALSE,FALSE,FALSE,save
Adarsh Nagar,2 BHK,2,1270 ,1270,2,50,5000000,save,FALSE,FALSE,FALSE,save
Bhoganhalli,3 BHK,3,1670 ,1670,3,99,9900000,save,FALSE,FALSE,FALSE,save
Whitefield,3 BHK,3,2010 ,2010,3,91,9100000,save,FALSE,FALSE,FALSE,save
Lakshminarayana Pura,2 BHK,2,1185 ,1185,2,75,7500000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1600 ,1600,2,75,7500000,save,FALSE,FALSE,FALSE,save
Begur Road,2 BHK,2,1200 ,1200,2,44,4400000,save,FALSE,FALSE,FALSE,save
Ramakrishnappa Layout,2 BHK,2,1500 ,1500,2,185,18500000,save,FALSE,FALSE,FALSE,save
Govindaraja Nagar Ward,2 BHK,2,840 ,840,2,45,4500000,save,FALSE,FALSE,FALSE,save
Tharabanahalli,3 Bedroom,3,4395 ,4395,3,240,24000000,save,FALSE,FALSE,FALSE,save
Ganga Nagar,2 BHK,2,845 ,845,2,55,5500000,save,FALSE,FALSE,FALSE,save
Varthur,2 BHK,2,1160 ,1160,2,44,4400000,save,FALSE,FALSE,FALSE,save
Bommanahalli,8 Bedroom,8,3000 ,3000,8,140,14000000,save,FALSE,FALSE,FALSE,save
Doddathoguru,2 BHK,2,1100 ,1100,2,62,6200000,save,FALSE,FALSE,FALSE,save
Gunjur,2 BHK,2,1140 ,1140,2,43,4300000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1220 ,1220,2,57,5700000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1005 ,1005,2,36.68,3668000,save,FALSE,FALSE,FALSE,save
Begur Road,2 BHK,2,1358 ,1358,2,80.58,8058000,save,FALSE,FALSE,FALSE,save
Hegde Nagar,3 BHK,3,1569 ,1569,3,101,10100000,save,FALSE,FALSE,FALSE,save
Haralur Road,2 BHK,2,1240 ,1240,2,70,7000000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,2089 ,2089,3,140,14000000,save,FALSE,FALSE,FALSE,save
Kothannur,2 BHK,2,1206 ,1206,2,48.23,4823000,save,FALSE,FALSE,FALSE,save
Kalena Agrahara,2 BHK,2,1150 ,1150,2,40,4000000,save,FALSE,FALSE,FALSE,save
Cholanayakanahalli,3 BHK,3,2511 ,2511,3,205,20500000,save,FALSE,FALSE,FALSE,save
ISRO Layout,6 Bedroom,6,4400 ,4400,6,250,25000000,save,FALSE,FALSE,FALSE,save
Kodanda Reddy Layout,3 BHK,3,1660 ,1660,2,105,10500000,save,FALSE,FALSE,FALSE,save
Yelahanka,2 BHK,2,1326 ,1326,2,78,7800000,save,FALSE,FALSE,FALSE,save
Garudachar Palya,3 BHK,3,1325 ,1325,2,60.8,6080000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1665 ,1665,3,88,8800000,save,FALSE,FALSE,FALSE,save
Dasanapura,2 BHK,2,708 ,708,2,37,3700000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,2 BHK,2,1060 ,1060,2,58.06,5806000,save,FALSE,FALSE,FALSE,save
Sanjay nagar,2 BHK,2,1000 ,1000,2,70,7000000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1000 ,1000,2,28.88,2888000,save,FALSE,FALSE,FALSE,save
 Mysore Highway,3 BHK,3,1450 ,1450,2,70,7000000,save,FALSE,FALSE,FALSE,save
ISRO Layout,4 Bedroom,4,1200 ,1200,4,155,15500000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1296 ,1296,2,80,8000000,save,FALSE,FALSE,FALSE,save
Domlur,3 BHK,3,1540 ,1540,3,90,9000000,save,FALSE,FALSE,FALSE,save
Kengeri,4 Bedroom,4,2894 ,2894,4,245,24500000,save,FALSE,FALSE,FALSE,save
Sarjapura - Attibele Road,3 BHK,3,1330 ,1330,2,48,4800000,save,FALSE,FALSE,FALSE,save
Devasthanagalu,2 BHK,2,1200 ,1200,2,65,6500000,save,FALSE,FALSE,FALSE,save
T Dasarahalli,3 Bedroom,3,1200 ,1200,3,90,9000000,save,FALSE,FALSE,FALSE,save
Yeshwanthpur,3 BHK,3,2502 ,2502,3,138,13800000,save,FALSE,FALSE,FALSE,save
Chandapura,2 BHK,2,650 ,650,1,17,1700000,save,FALSE,FALSE,FALSE,save
Kothanur,3 Bedroom,3,2400 ,2400,2,150,15000000,save,FALSE,FALSE,FALSE,save
Green View Layout,2 BHK,2,1007 ,1007,2,43,4300000,save,FALSE,FALSE,FALSE,save
Shantiniketan Layout,2 BHK,2,1200 ,1200,2,50,5000000,save,FALSE,FALSE,FALSE,save
Peenya,2 BHK,2,966 ,966,2,49.9,4990000,save,FALSE,FALSE,FALSE,save
Nagarbhavi,3 BHK,3,1630 ,1630,2,98,9800000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,3 BHK,3,1640 ,1640,3,229,22900000,save,FALSE,FALSE,FALSE,save
Jalahalli West,2 BHK,2,782 ,782,2,55.68,5568000,save,FALSE,FALSE,FALSE,save
Devanahalli,2 BHK,2,1260 ,1260,2,66.78,6678000,save,FALSE,FALSE,FALSE,save
Lakshmiamma Garden,3 BHK,3,1800 ,1800,3,120,12000000,save,FALSE,FALSE,FALSE,save
Byatarayanapura,3 BHK,3,1413 ,1413,2,75,7500000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1116 ,1116,2,51.91,5191000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1530 ,1530,2,45.9,4590000,save,FALSE,FALSE,FALSE,save
Ramamurthy Nagar,4 Bedroom,4,3700 ,3700,4,225,22500000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 Bedroom,3,2497 ,2497,3,140,14000000,save,FALSE,FALSE,FALSE,save
Kengeri,3 BHK,3,1540 ,1540,2,64,6400000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1436 ,1436,3,74.75,7475000,save,FALSE,FALSE,FALSE,save
Malleshwaram,2 BHK,2,1100 ,1100,2,75,7500000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1427 ,1427,3,120,12000000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,2061 ,2061,3,200,20000000,save,FALSE,FALSE,FALSE,save
Hebbal,4 BHK,4,3067 - 8156,3067,4,477,47700000,save,FALSE,FALSE,FALSE,save
Shampura,4 BHK,4,2650 ,2650,4,150,15000000,save,FALSE,FALSE,FALSE,save
Devanahalli,3 BHK,3,1282 ,1282,2,68.52,6852000,save,FALSE,FALSE,FALSE,save
Kadugodi,2 BHK,2,1050 ,1050,2,34,3400000,save,FALSE,FALSE,FALSE,save
LB Shastri Nagar,3 BHK,3,1600 ,1600,3,65,6500000,save,FALSE,FALSE,FALSE,save
Vajarahalli,2 BHK,2,945 ,945,2,54,5400000,save,FALSE,FALSE,FALSE,save
Hormavu,2 BHK,2,1500 ,1500,2,78,7800000,save,FALSE,FALSE,FALSE,save
Peenya,3 BHK,3,1870 ,1870,3,110,11000000,save,FALSE,FALSE,FALSE,save
Sarjapur,3 Bedroom,3,1600 ,1600,3,75,7500000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,880 ,880,1,16.5,1650000,save,FALSE,FALSE,FALSE,save
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,4,1200 ,1200,4,210,21000000,save,FALSE,FALSE,FALSE,save
Kudlu Gate,3 BHK,3,1535 ,1535,3,83,8300000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,950 ,950,2,57,5700000,save,FALSE,FALSE,FALSE,save
Devanahalli,2 BHK,2,1360 ,1360,2,65,6500000,save,FALSE,FALSE,FALSE,save
8th Phase JP Nagar,2 BHK,2,1042 - 1105,1042,2,54.005,5400500,save,FALSE,FALSE,FALSE,save
Bommasandra Industrial Area,3 BHK,3,1280 ,1280,3,50.4,5040000,save,FALSE,FALSE,FALSE,save
Chandra Layout,3 BHK,3,1260 ,1260,2,85.05,8505000,save,FALSE,FALSE,FALSE,save
Hennur Road,8 Bedroom,8,5000 ,5000,8,250,25000000,save,FALSE,FALSE,FALSE,save
Yelahanka,5 BHK,5,3050 ,3050,5,213,21300000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,3 BHK,3,1563 ,1563,3,105,10500000,save,FALSE,FALSE,FALSE,save
ISRO Layout,2 BHK,2,1000 ,1000,2,60,6000000,save,FALSE,FALSE,FALSE,save
Anandapura,2 BHK,2,1167 ,1167,2,43.76,4376000,save,FALSE,FALSE,FALSE,save
Vishveshwarya Layout,7 BHK,7,4000 ,4000,7,225,22500000,save,FALSE,FALSE,FALSE,save
Kothanur,3 BHK,3,1828 ,1828,3,110,11000000,save,FALSE,FALSE,FALSE,save
Kengeri Satellite Town,2 BHK,2,890 ,890,2,35,3500000,save,FALSE,FALSE,FALSE,save
Basavanapura,3 BHK,3,1612 ,1612,3,46.74,4674000,save,FALSE,FALSE,FALSE,save
Kannamangala,2 BHK,2,957 ,957,2,58,5800000,save,FALSE,FALSE,FALSE,save
 Devarachikkanahalli,3 BHK,3,1250 ,1250,2,44,4400000,save,FALSE,FALSE,FALSE,save
Hulimavu,2 BHK,2,1125 ,1125,2,50,5000000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,2 BHK,2,1020 ,1020,2,30.6,3060000,save,FALSE,FALSE,FALSE,save
Kalena Agrahara,2 BHK,2,1200 ,1200,2,50,5000000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1735 ,1735,3,135,13500000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,2050 ,2050,3,145,14500000,save,FALSE,FALSE,FALSE,save
Mahalakshmi Layout,4 Bedroom,4,3750 ,3750,4,760,76000000,save,FALSE,FALSE,FALSE,save
Yarandahalli,3 BHK,3,1350 ,1350,2,48,4800000,save,FALSE,FALSE,FALSE,save
Hosa Road,2 BHK,2,1063 ,1063,2,32,3200000,save,FALSE,FALSE,FALSE,save
Keshava Nagar,3 BHK,3,1904 ,1904,3,150,15000000,save,FALSE,FALSE,FALSE,save
Whitefield,4 Bedroom,4,4200 ,4200,4,420,42000000,save,FALSE,FALSE,FALSE,save
RMV Extension,3 BHK,3,2000 ,2000,3,175,17500000,save,FALSE,FALSE,FALSE,save
Sarjapur,2 BHK,2,1145 - 1340,1145,2,43.49,4349000,save,FALSE,FALSE,FALSE,save
Tejaswini Nagar,3 BHK,3,1425 ,1425,2,75,7500000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1500 ,1500,2,64.5,6450000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1060 ,1060,2,60,6000000,save,FALSE,FALSE,FALSE,save
Jai Bheema Nagar,3 BHK,3,1470 ,1470,2,70,7000000,save,FALSE,FALSE,FALSE,save
Attibele,1 BHK,1,450 ,450,1,11,1100000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1152 ,1152,2,64.5,6450000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1350 ,1350,2,56,5600000,save,FALSE,FALSE,FALSE,save
CV Raman Nagar,3 BHK,3,1550 ,1550,3,65,6500000,save,FALSE,FALSE,FALSE,save
CHIKKATIRUPATHI,3 Bedroom,3,1500 ,1500,3,100,10000000,save,FALSE,FALSE,FALSE,save
Nagavara,1 Bedroom,1,400 ,400,1,14,1400000,save,FALSE,FALSE,FALSE,save
Malleshwaram,1 BHK,1,705 ,705,1,67,6700000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,770 ,770,1,36,3600000,save,FALSE,FALSE,FALSE,save
Hulimavu,2 BHK,2,1242 ,1242,2,51,5100000,save,FALSE,FALSE,FALSE,save
Hebbal Kempapura,3 BHK,3,1700 ,1700,3,155,15500000,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,2144 ,2144,3,145,14500000,save,FALSE,FALSE,FALSE,save
Vijayanagar,3 BHK,3,1704 ,1704,3,110,11000000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1070 ,1070,2,52,5200000,save,FALSE,FALSE,FALSE,save
8th block Koramangala,3 Bedroom,3,1846 ,1846,3,300,30000000,save,FALSE,FALSE,FALSE,save
Jakkuru Layout,2 BHK,2,1340 ,1340,2,55.7,5570000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1025 ,1025,2,46,4600000,save,FALSE,FALSE,FALSE,save
KR Puram,2 BHK,2,1015 - 1540,1015,2,56.8,5680000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1200 ,1200,2,52,5200000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,4 Bedroom,4,2250 ,2250,4,110,11000000,save,FALSE,FALSE,FALSE,save
Pattandur Agrahara,3 BHK,3,1550 ,1550,2,80,8000000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1200 ,1200,2,60,6000000,save,FALSE,FALSE,FALSE,save
Yelahanka,2 BHK,2,1327 ,1327,2,98,9800000,save,FALSE,FALSE,FALSE,save
Kothanur,2 BHK,2,1186 ,1186,2,58,5800000,save,FALSE,FALSE,FALSE,save
MS Pallya,3 Bedroom,3,1783 ,1783,3,115,11500000,save,FALSE,FALSE,FALSE,save
HSR Layout,3 BHK,3,1400 ,1400,3,56,5600000,save,FALSE,FALSE,FALSE,save
Nagasandra,2 BHK,2,980 ,980,2,48,4800000,save,FALSE,FALSE,FALSE,save
EPIP Zone,2 BHK,2,1285 ,1285,2,82,8200000,save,FALSE,FALSE,FALSE,save
Langford Town,3 BHK,3,912 ,912,2,70,7000000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1225 ,1225,2,47.6,4760000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1075 ,1075,2,53,5300000,save,FALSE,FALSE,FALSE,save
Kadugodi,3 BHK,3,1260 ,1260,2,54,5400000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1282 ,1282,2,48.7,4870000,save,FALSE,FALSE,FALSE,save
Kogilu,3 BHK,3,1909 ,1909,3,88,8800000,save,FALSE,FALSE,FALSE,save
Panathur,2 BHK,2,1359 ,1359,2,87,8700000,save,FALSE,FALSE,FALSE,save
Nagondanahalli,2 BHK,2,1207 ,1207,2,43.5,4350000,save,FALSE,FALSE,FALSE,save
1st Block Jayanagar,4 BHK,4,2850 ,2850,4,428,42800000,save,FALSE,FALSE,FALSE,save
Kammasandra,3 BHK,3,1595 ,1595,3,65,6500000,save,FALSE,FALSE,FALSE,save
"Off Sarjapur Road, ",3 BHK,3,1798 ,1798,3,89,8900000,save,FALSE,FALSE,FALSE,save
Electronics City Phase 1,3 BHK,3,1475 ,1475,3,78.29,7829000,save,FALSE,FALSE,FALSE,save
Tala Cauvery Layout,3 BHK,3,1580 ,1580,3,100,10000000,save,FALSE,FALSE,FALSE,save
Dasarahalli,2 BHK,2,1295 ,1295,2,65,6500000,save,FALSE,FALSE,FALSE,save
Magadi Road,6 Bedroom,6,3600 ,3600,6,141,14100000,save,FALSE,FALSE,FALSE,save
Electronic City,1 BHK,1,589 ,589,1,27,2700000,save,FALSE,FALSE,FALSE,save
Ngef Layout,3 BHK,3,1415 ,1415,3,78,7800000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 BHK,3,1787 ,1787,3,98.29,9829000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 BHK,3,1787 ,1787,3,125,12500000,save,FALSE,FALSE,FALSE,save
Koramangala,3 BHK,3,1475 ,1475,2,90,9000000,save,FALSE,FALSE,FALSE,save
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,4,2000 ,2000,4,75.5,7550000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,2 BHK,2,984 ,984,2,44.28,4428000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1080 ,1080,2,72,7200000,save,FALSE,FALSE,FALSE,save
Shantiniketan Layout,2 Bedroom,2,1500 ,1500,2,115,11500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1900 ,1900,3,119,11900000,save,FALSE,FALSE,FALSE,save
Dommasandra,2 BHK,2,805 ,805,2,22.14,2214000,save,FALSE,FALSE,FALSE,save
Budigere,2 BHK,2,1153 ,1153,2,56.4,5640000,save,FALSE,FALSE,FALSE,save
Dodda Nekkundi Extension,2 BHK,2,1148 ,1148,2,60,6000000,save,FALSE,FALSE,FALSE,save
Mylasandra,2 BHK,2,1110 ,1110,2,55,5500000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1100 ,1100,2,42,4200000,save,FALSE,FALSE,FALSE,save
Kalyan nagar,2 BHK,2,1290 ,1290,2,110,11000000,save,FALSE,FALSE,FALSE,save
Dr Shivarama Karantha Nagar,3 BHK,3,1500 ,1500,2,65,6500000,save,FALSE,FALSE,FALSE,save
Bank Of Baroda Colony,2 BHK,2,1080 ,1080,2,39,3900000,save,FALSE,FALSE,FALSE,save
Vijayanagar,3 BHK,3,1933 ,1933,3,129,12900000,save,FALSE,FALSE,FALSE,save
Ramamurthy Nagar,5 Bedroom,5,3500 ,3500,5,150,15000000,save,FALSE,FALSE,FALSE,save
Kullappa Colony,2 BHK,2,1060 ,1060,2,60,6000000,save,FALSE,FALSE,FALSE,save
Chandapura,1 BHK,1,645 ,645,1,16.45,1645000,save,FALSE,FALSE,FALSE,save
Mukkutam Nagar,8 Bedroom,8,2600 ,2600,8,180,18000000,save,FALSE,FALSE,FALSE,save
Chandapura,1 BHK,1,645 ,645,1,16.45,1645000,save,FALSE,FALSE,FALSE,save
Ashwath Nagar,3 BHK,3,1644 ,1644,3,84,8400000,save,FALSE,FALSE,FALSE,save
Ncpr Industrial Layout,2 BHK,2,1285 ,1285,2,72.5,7250000,save,FALSE,FALSE,FALSE,save
Electronic City,3 Bedroom,3,1200 ,1200,3,90,9000000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,910 ,910,2,40,4000000,save,FALSE,FALSE,FALSE,save
Kothanur,3 BHK,3,1577 ,1577,3,70,7000000,save,FALSE,FALSE,FALSE,save
Meenakunte,3 Bedroom,3,4050 ,4050,3,280,28000000,save,FALSE,FALSE,FALSE,save
OMBR Layout,3 BHK,3,2420 ,2420,3,185,18500000,save,FALSE,FALSE,FALSE,save
Chandapura,2 BHK,2,800 ,800,1,20,2000000,save,FALSE,FALSE,FALSE,save
Anand Nagar,2 BHK,2,1060 ,1060,2,55,5500000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1270 ,1270,2,93,9300000,save,FALSE,FALSE,FALSE,save
Shree Ananth Nagar Layout,2 BHK,2,900 ,900,2,22.5,2250000,save,FALSE,FALSE,FALSE,save
Kundalahalli Colony,2 Bedroom,2,1280 ,1280,2,69,6900000,save,FALSE,FALSE,FALSE,save
Horamavu Agara,4 Bedroom,4,1200 ,1200,2,95,9500000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,2 BHK,2,1025 ,1025,2,36,3600000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1108 ,1108,2,63,6300000,save,FALSE,FALSE,FALSE,save
Coffee Board Layout,3 BHK,3,3045 ,3045,3,170,17000000,save,FALSE,FALSE,FALSE,save
Ambedkar Nagar,4 Bedroom,4,2900 ,2900,3,300,30000000,save,FALSE,FALSE,FALSE,save
Vijayanagar,3 BHK,3,1500 ,1500,3,75.5,7550000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,2 BHK,2,1295 ,1295,2,43.9,4390000,save,FALSE,FALSE,FALSE,save
Budigere,2 BHK,2,1162 ,1162,2,59.9,5990000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,2 BHK,2,1035 ,1035,2,49.2,4920000,save,FALSE,FALSE,FALSE,save
Attibele,4 Bedroom,4,1600 ,1600,4,52.8,5280000,save,FALSE,FALSE,FALSE,save
KUDLU MAIN ROAD,3 BHK,3,1464 ,1464,3,46,4600000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,1866 ,1866,2,61.58,6158000,save,FALSE,FALSE,FALSE,save
Geleyara Balaga Layout,2 BHK,2,700 ,700,1,26,2600000,save,FALSE,FALSE,FALSE,save
Kalena Agrahara,3 BHK,3,1804 ,1804,3,120,12000000,save,FALSE,FALSE,FALSE,save
Sarjapur,2 BHK,2,913 ,913,2,32,3200000,save,FALSE,FALSE,FALSE,save
Talaghattapura,3 BHK,3,1868 ,1868,3,131,13100000,save,FALSE,FALSE,FALSE,save
Kengeri Satellite Town,2 BHK,2,883 ,883,2,45,4500000,save,FALSE,FALSE,FALSE,save
Sundara Nagar,2 Bedroom,2,900 ,900,2,110,11000000,save,FALSE,FALSE,FALSE,save
Kogilu,3 BHK,3,1664 ,1664,2,73.95,7395000,save,FALSE,FALSE,FALSE,save
Hegde Nagar,3 BHK,3,2026 ,2026,3,132,13200000,save,FALSE,FALSE,FALSE,save
Balagere,2 BHK,2,1210 ,1210,2,80.9,8090000,save,FALSE,FALSE,FALSE,save
Meenakunte,4 Bedroom,4,4111 ,4111,4,250,25000000,save,FALSE,FALSE,FALSE,save
Kadugodi,3 BHK,3,1762 ,1762,3,91.45,9145000,save,FALSE,FALSE,FALSE,save
Jigani,3 BHK,3,1252 ,1252,3,55,5500000,save,FALSE,FALSE,FALSE,save
Gollarapalya Hosahalli,2 BHK,2,861 ,861,2,34.5,3450000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,3 BHK,3,1420 ,1420,2,100,10000000,save,FALSE,FALSE,FALSE,save
Electronics City Phase 1,3 BHK,3,1490 ,1490,3,78.8,7880000,save,FALSE,FALSE,FALSE,save
Bisuvanahalli,3 BHK,3,1075 ,1075,2,46,4600000,save,FALSE,FALSE,FALSE,save
Old Madras Road,3 BHK,3,1425 ,1425,2,94,9400000,save,FALSE,FALSE,FALSE,save
Kalena Agrahara,2 BHK,2,1200 ,1200,2,40,4000000,save,FALSE,FALSE,FALSE,save
Kaggadasapura,3 BHK,3,1280 ,1280,2,56,5600000,save,FALSE,FALSE,FALSE,save
Silver Springs Layout,2 BHK,2,1084 ,1084,2,50,5000000,save,FALSE,FALSE,FALSE,save
Chandapura,2 BHK,2,1015 ,1015,2,25.88,2588000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,1017 ,1017,2,51.25,5125000,save,FALSE,FALSE,FALSE,save
Haralur Road,2 BHK,2,1027 ,1027,2,44,4400000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,2 BHK,2,1069 ,1069,2,45,4500000,save,FALSE,FALSE,FALSE,save
Hebbal,2 BHK,2,1349 ,1349,2,98.2,9820000,save,FALSE,FALSE,FALSE,save
9th Phase JP Nagar,2 BHK,2,1005 ,1005,2,50,5000000,save,FALSE,FALSE,FALSE,save
Jakkur,2 BHK,2,1417 ,1417,2,75,7500000,save,FALSE,FALSE,FALSE,save
